design,rank,sample,mean_overlap,valid_tokens,truncated,text
dlzs_snap_k,1,90,0.8891836593147446,89,False,"A security team reviewed alerts from a business network after deploying a new detection rule before sunrise. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, a short power interruption changed the first readings. the team repeated the affected measurements after the instruments restarted. the final decision used both the original and repeated observations."
dlzs_snap_k,2,79,0.8892468499427264,97,False,"A public health group reviewed responses from households invited to a local wellness survey near the end of a month-long trial. The review focused on survey responses: response rate, age band, and collection method. They compared online and paper forms and documented every change to the questionnaire. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
dlzs_snap_k,3,94,0.8903888888888891,100,False,"A security team reviewed alerts from a business network after deploying a new detection rule near the end of a month-long trial. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
dlzs_snap_k,4,93,0.8904160654160646,105,False,"A security team reviewed alerts from a business network after deploying a new detection rule on a clear weekend morning. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
dlzs_snap_k,5,52,0.890710872162485,93,False,"A secondary school team studied attendance across classes using a new morning check-in process after two days of heavy rain. The review focused on attendance records: arrival time, absence reason, and class size. They compared the electronic register with teacher notes and the transport timetable. In that period, nearby activity produced a second change in the measurements. the investigators added a control location before interpreting the trend. the result was reported only when the control supported the same direction."
dlzs_snap_q,1,93,0.9143819143819134,105,False,"A security team reviewed alerts from a business network after deploying a new detection rule on a clear weekend morning. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
dlzs_snap_q,2,94,0.9155694444444448,100,False,"A security team reviewed alerts from a business network after deploying a new detection rule near the end of a month-long trial. The review focused on security events: alert type, response time, and source segment. They compared alerts with authenticated activity and preserved the original event order. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
dlzs_snap_q,3,78,0.9166047732224195,102,False,"A public health group reviewed responses from households invited to a local wellness survey on a clear weekend morning. The review focused on survey responses: response rate, age band, and collection method. They compared online and paper forms and documented every change to the questionnaire. In that period, one sensor or record contained an unusual outlier. the team checked the raw value and calibration history instead of deleting it. the outlier remained visible in the appendix and was excluded only from the mean."
dlzs_snap_q,4,29,0.9166521990740742,96,False,"A software team reviewed a staged deployment of a service used by several internal groups near the end of a month-long trial. The review focused on service requests: latency, error rate, and release stage. They compared application logs with the deployment timeline and rollback notes. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
dlzs_snap_q,5,64,0.916767939814815,96,False,"An energy cooperative reviewed output from rooftop solar arrays installed on several buildings near the end of a month-long trial. The review focused on power intervals: generated energy, cloud cover, and inverter temperature. They compared meter readings with the weather station and marked maintenance periods. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
drum3,1,29,0.9244357638888892,96,False,"A software team reviewed a staged deployment of a service used by several internal groups near the end of a month-long trial. The review focused on service requests: latency, error rate, and release stage. They compared application logs with the deployment timeline and rollback notes. In that period, the system became more variable as demand increased. the engineers grouped the results by load and tested the busiest interval again. the recommendation included a limit for the high-demand case."
